year,province,GDP,GDP_growth,income_urban,fiscal_revenue,CPI,second_portion,tertiary_portion,tertiary_growth,pop,pop_growth,city_pop_density,urban_unemploy,urban_pop_port,educ_exp_per,resid_exp_per,health_emp,health_emp_per,books,books_per,cultland,college_stu,college_stu_per,urban_area,SO2,COD,waste_water,water_per,forest_coverage,reserve_num,industry_fume,urban_green_area,urban_green_rate,fume_manage_facility,pollut_mana_inv,pollut_mana_inv_port
2014,Tianjin,10640.6,6.990166308,31506.03,2390.35,3.08,49.38,49.3,8.966119325,1429,2.14,3328,3.5,82.55,2013.02,5251.44,111672,0.007814696,1598.09,1.118327502,437.18,50.58,0.035395381,797.1,20.92,21.43,89361.44,76.08,12.1,8,8800,278.43,0.349303726,4621,278.9,1.77
2013,Tianjin,9945.4,9.978989273,28979.82,2079.07,2.73,50.6,48.1,13.07470963,1410,2.28,2843,3.6,82.29,2353.43,2088.62,106527,0.007555106,1473.79,1.045241135,438.31,48.99,0.034744681,747.26,21.68,22.15,84210,101.49,9.9,8,8080,261.01,0.349289404,4262,191.3,1.33
2012,Tianjin,9043,11.46995378,29626.41,1760.02,4.85,51.7,46.99,12.95074967,1378,2.63,2782,3.6,81.55,2254.22,1854.22,104201,0.007561756,1469.22,1.066197388,439.28,47.31,0.034332366,722.14,22.45,22.94,82813.16,237.99,9.9,8,9032.2,268.75,0.372157753,3911,157.5,1.22
2011,Tianjin,8112.5,18.76354161,26920.86,1455.13,4.85,52.4,46.2,22.55982322,1341,2.5,2636,3.6,80.43,2116.01,1763.44,100169,0.007469724,1353.95,1.009656972,441.1,44.97,0.033534676,710.6,23.09,23.58,67146.94,115.96,9.9,8,8919.3,246.89,0.347438784,3837,174.9,1.55
2010,Tianjin,6830.8,19.63710242,24292.6,1068.81,3.55,52.5,46,23.65800165,1299.29,2.6,2752,3.6,79.55,1899.5,1615.57,96732,0.007444989,1258.33,0.96847509,443.7,42.92,0.033033426,686.71,23.52,13.2,68196,72.8,9.9,8,7686,232.65,0.3387893,3126,109.7,1.19
2009,Tianjin,5709.6,10.17289287,21402.01,821.99,-0.97,53,45.3,15.59369935,1228.16,2.6,2716,3.6,78.01,1740.85,1505.7,93366,0.007602104,1158.72,0.943460135,402.6,40.6,0.033057582,662.25,23.67,13.3,59647.38,126.79,9.9,8,5983,208.35,0.314609287,3157,103.7,1.38
2008,Tianjin,5182.4,24.62485571,19422.53,675.62,5.4,60.1,37.9,24.84304467,1176,2.19,2858,3.6,77.23,1608.97,1528.28,85886,0.007303231,1106.7,0.941071429,441.09,38.64,0.032857143,640.85,24,13.3,61229,159.76,8.2,8,6005,208.9,0.325973317,3052,68.1,1.07
2007,Tianjin,4158.4,17.5286869,16357.35,540.44,4.22,57.3,40.5,20.43366869,1115,2.05,2912,3.59,76.31,1639.83,1417.45,81570,0.007315695,1029.7,0.923497758,443.68,37.11,0.033282511,571.53,24.47,13.7,56928.16,103.29,8.2,8,5506,209.1,0.36586006,2974,59.8,1.18
2006,Tianjin,3538.2,12.01798265,14283.09,417.05,1.51,57.1,40.2,13.03948577,1075,1.6,2590.13,3.6,76.31,1452.17,1368.2,78631,0.007314512,945.1,0.879162791,485.6,35.74,0.033246512,539.98,25.5,14.3,58834,95.47,8.2,9,6512,209.84,0.388606985,2899,40.8,0.93
2015,Xizang,1043,10.99287006,25456.63,137.13,2.9,36.65,53.8,12.24829115,330,10.65,1750,2.48,28.87,1728.19,3516.46,29094,0.008816364,162.09,0.491181818,443.02,3.48,0.010545455,144.52,0.54,2.88,5883.3,120120.96,12.1,47,183,63.34,0.438278439,288,8.4,0.81
2014,Xizang,939.7,13.46293166,22015.81,124.27,3.55,36.58,53.47,13.67072659,325,10.55,1857,2.47,26.23,727.33,3397.65,26531,0.008163385,125.24,0.385353846,442.53,3.35,0.010307692,126.34,0.42,2.79,5449.68,140200,12.1,47,170.4,56.3,0.445622922,273,14.4,1.56
2013,Xizang,828.2,16.61503802,9746.8,95.02,3.51,36.3,53,16.48727984,317,10.38,1820,2.47,23.93,1551.34,963.99,24653,0.007776972,100.33,0.316498423,441.77,3.48,0.010977918,120.29,0.42,2.58,5004.68,142530.58,12,47,114.7,42.63,0.354393549,255,28.3,3.5
2012,Xizang,710.2,16.14063778,18028.32,86.58,4.99,34.64,53.89,18.1161514,315,10.27,1655,2.58,22.87,550.48,845.18,21558,0.00684381,68.57,0.21768254,442.23,3.35,0.010634921,119.7,0.42,2.58,4683.14,137378.1,12,47,114,43.98,0.367418546,250,4,0.57
2011,Xizang,611.5,19.22402028,16195.56,54.76,4.99,34.5,53.2,18.08256568,309,10.26,515,3.2,22.81,514.44,781.12,22234,0.007195469,56.5,0.182847896,442.38,3.24,0.010485437,89.7,0.42,2.68,4634.58,145779.8,12,47,113.7,31.57,0.351950948,217,28.2,4.66
2010,Xizang,512.9,15.07740633,14980.47,36.65,2.2,32.3,54.2,14.89611917,300.22,10.25,575,3.99,22.67,477.95,726.59,16694,0.005560589,53.49,0.178169342,442.43,3.11,0.01035907,84.9,0.39,2.9,3825,153681.9,12,47,16,27.78,0.327208481,46,0.3,0.06
2009,Xizang,445.7,11.92867906,13544.41,30.09,1.41,31,54.6,11.00957354,295.84,10.24,1574,3.8,22.3,465.84,689.76,16040,0.00542185,50.01,0.169044078,229.57,3.03,0.010242023,81.3,0.17,1.5,3455.23,139658.93,12,45,15,26.67,0.32804428,51,2.7,0.61
2008,Xizang,398.2,15.72217379,12481.51,24.88,5.72,29.2,55.5,16.88708037,292.33,10.3,1557,4.1,21.9,419.59,634.94,11680,0.003995485,49.8,0.17035542,361.63,2.94,0.010057127,79,0.2,1.5,3420,159726.8,11.9,45,13,22,0.278481013,39,0.2,0.05
2007,Xizang,344.1,20.3567681,11130.93,20.14,3.37,28.8,55.2,21.20838471,288.83,11.3,1258,4.3,21.5,441.02,628.35,10152,0.00351487,48,0.166187723,361.14,2.68,0.009278815,78.8,0.19,1.5,3335.56,152969.2,11.9,40,13,21.18,0.268781726,25,0.6,0.15
2006,Xizang,285.9,17.60592349,8941.08,14.56,2.03,27.5,55,17.79230211,285.08,11.7,1146.34,4.3,21.5,359.34,612.67,10746,0.003769468,63.4,0.222393714,362.6,2.33,0.008173144,78,0.2,1.5,2685,149001.43,11.9,38,13,18.65,0.239102564,22,1.7,0.59
2015,Xinjiang,9306.9,0.457660964,26274.66,1330.85,2.11,38.57,44.71,10.49273923,2385,11.08,2557,2.86,48.78,2058.22,3371.53,208536,0.008743648,1303.39,0.546494759,5188.89,29.37,0.012314465,1185.36,77.83,66.03,99952.06,3994.25,4.9,31,20087,654.8,0.55240602,5980,288.7,3.1
2014,Xinjiang,9264.5,10.38891404,23214.03,1282.34,3.95,42.58,40.83,12.3333891,2325,11.47,4280,3.17,46.79,1741.04,3262.77,199649,0.008587054,1292.23,0.555797849,5169.5,28.62,0.012309677,1118.4,85.3,67.02,102748.31,3186.91,4.9,31,22116.1,608.79,0.544340129,5821,392.4,4.24
2013,Xinjiang,8392.6,13.23295286,13669.6,1128.49,3.83,45,37.4,24.43873833,2285,10.92,4361,3.36,44.94,1597.99,1275.35,189578,0.00829663,1241.6,0.543369803,5160.2,27.62,0.012087527,1064.87,82.94,67.24,100720.29,4251.88,4.2,31,18464.5,574.02,0.539051715,5328,318.7,3.81
2012,Xinjiang,7411.8,13.46907532,17920.68,908.97,5.95,46.39,36.02,20.51099774,2253,10.84,4312,3.39,44.22,1280.81,1166.59,177085,0.007859964,1322.8,0.587128273,5148.07,26.87,0.01192632,959.6,79.61,67.92,93810.49,4055.5,4.2,27,15869.9,533.28,0.555731555,4963,255.1,3.4
2011,Xinjiang,6532,21.86112458,15513.62,720.43,5.95,48.8,34,27.19536195,2225,10.57,4563,3.22,43.73,1122.18,888.16,167828,0.007542831,1210.03,0.543833708,5135.38,25.87,0.011626966,921.8,76.31,67.29,83328.54,4031.3,4.2,27,11868,496.97,0.539129963,4554,132.7,2.01
2010,Xinjiang,5360.2,26.50932263,13643.77,500.58,4.33,47.7,32.5,11.50584188,2185,10.56,4977,3.23,43.01,1012.37,898.38,158917,0.007273089,1113.39,0.509560641,5121.46,25.12,0.011496568,838.2,58.85,29.6,83690,5125.2,4.2,27,9310,436.71,0.521009306,3547,78.4,1.44
2009,Xinjiang,4237,2.281231141,12257.52,388.78,0.74,45.1,37.1,12.12262269,2158.63,10.56,4922,3.84,39.85,855.53,856.78,146943,0.006807234,933.76,0.432570658,4041.11,24.16,0.011192284,800.36,58.99,28.7,77183.63,3516.6,4.2,27,6975,426.17,0.532472887,4299,78.2,1.83
2008,Xinjiang,4142.5,18.35714286,11432.1,361.06,8.06,49.6,33.9,14.07115224,2130.81,11.17,4987,3.7,39.64,812.36,781.9,130174,0.006109132,894.3,0.419699551,4124.56,23.1,0.010840948,750.96,58.5,28.7,74700,3859.91,4,27,6154,409.99,0.545954512,4177,47.7,1.13
2007,Xinjiang,3500,18.35119873,10313.44,285.86,5.49,46.8,35.4,26.14103914,2095.19,11.78,4836,3.88,39.15,896.79,736.99,127621,0.006091142,836,0.399009159,4114.23,21.64,0.010328419,678.67,57.99,29,68617.3,4167.79,4,27,5797,391.52,0.576893041,3964,35.2,1
2006,Xinjiang,2957.3,17.32989486,8871.27,219.46,1.31,48,34.7,15.12447676,2050,10.76,5403.15,3.9,39.15,819.72,698.66,121400,0.005921951,811,0.395609756,3985.7,19.93,0.009721951,673.87,54.9,28.8,57440,4695.08,4,27,5053,364.51,0.540920356,2397,23.3,0.77
2015,Yunnan,14960,6.539806434,26373.23,1808.15,2.37,39.77,45.14,10.98427385,4663,6.4,2943,3.96,42.93,2427.47,3880.79,304551,0.006531225,1944.22,0.416946172,6208.54,62.56,0.013416256,1060.14,58.37,51.03,173333.44,3959.3,55,159,15549,436.08,0.411341898,8388,140.8,1.03
2014,Yunnan,14041.7,9.482671241,24299.01,1698.06,3.12,41.22,43.25,11.95997646,4653,6.2,2853,3.98,41.21,1816.48,3469.64,282760,0.00607694,1864.24,0.400653342,6207.45,57.7,0.012400602,977.04,63.67,53.38,157544.15,3673.28,55,157,16664.1,412.84,0.422541554,7809,152,1.19
2013,Yunnan,12825.5,15.57211599,12577.9,1611.3,2.73,42,41.8,18.96330973,4641,6.17,2415,3.98,39.99,2045.29,1384.91,265531,0.005721418,1765.46,0.380405085,6219.81,56.08,0.012083603,935.77,66.31,54.72,156583.28,3652.24,50,154,15958.1,388.66,0.415337102,7346,197.1,1.68
2012,Yunnan,11097.4,16.53138159,21074.5,1338.15,4.85,42.87,41.09,15.83972561,4631,6.22,4029,4.03,38.47,1434.3,973.76,233361,0.005039106,1879.34,0.405817318,6224.92,51.22,0.011060246,859.9,67.22,54.86,154009.74,3637.9,50,159,14955.2,392.1,0.455983254,6618,132.4,1.28
2011,Yunnan,9523.1,23.11222577,18575.62,1111.16,4.85,42.5,41.6,27.76774346,4620,6.35,3811,4.05,36.57,1350.65,827.84,215335,0.004660931,1699.13,0.367777056,6233.53,48.76,0.010554113,804.1,69.12,55.47,147523.1,3206.5,50,163,17545,355.38,0.441959955,6305,119.2,1.34
2010,Yunnan,7735.3,17.65788513,16064.54,871.19,3.73,44.6,40,15.68869249,4601.6,6.54,3795,4.21,34.7,1014.4,835.45,207663,0.004512843,1566,0.340316412,6240.07,43.9,0.00954016,751.3,50.07,26.8,91992,4233.1,50,167,10978,319.03,0.424637295,5649,106.2,1.47
2009,Yunnan,6574.4,9.271016853,14423.93,698.25,0.4,41.9,40.8,14.99645474,4571,6.08,3561,4.26,34,798.69,943.67,196796,0.004305316,1507.91,0.329886239,4185.5,39.36,0.008610807,666.57,49.93,27.3,87590.64,3459.73,50,152,9484,255.86,0.383845658,5432,79.6,1.29
2008,Yunnan,6016.6,18.49765628,13250.22,614.05,5.7,43,39.1,16.96461482,4543,6.32,3386,4.21,33,732.95,739.2,151859,0.003342703,1452.7,0.319766674,6072.06,34.77,0.007653533,623.76,50.2,28.1,83865,5110.96,47.5,152,8316,226.97,0.363873926,5267,44.1,0.77
2007,Yunnan,5077.4,24.12056616,11496.11,486.71,5.86,43.3,39.1,26.77570093,4514,6.86,3322,4.18,31.6,705.51,673.07,149403,0.00330977,1420,0.314576872,6072.36,31.11,0.006891892,578.43,53.37,29,83758.94,5013.94,47.5,198,8082,207.25,0.35829746,4701,29.9,0.63
2006,Yunnan,4090.7,16.95399834,10069.89,379.97,1.87,42.8,38.5,16.93190356,4483,6.9,3080.7,4.3,31.6,754.69,585.35,145621,0.003248294,1396,0.311398617,6421.6,28.42,0.006339505,542.26,55.1,29.4,76760,3832.25,47.5,198,6646,168.67,0.31105005,4391,29,0.72
2015,Zhejiang,43507.7,8.705385586,43714.48,4809.94,2.06,45.96,49.76,12.89578013,5985,5.02,1914,2.93,66.32,2495.02,7354.9,491008,0.008203977,6249.79,1.044242272,1978.58,102.72,0.017162907,2590.74,53.78,68.32,433822.46,2547.48,59.4,35,26841,1551.92,0.599025761,20108,439.7,1.03
2014,Zhejiang,40023.5,7.202166355,40392.72,4122.02,2.3,47.73,47.85,7.23710974,5890,5,1828,2.96,64.96,2642.86,6901.9,455809,0.007738693,5634.08,0.956550085,1976.6,107.57,0.018263158,2489.22,57.4,72.54,418261.9,2057.33,59.4,33,26958.3,1496.41,0.601156185,18598,474.2,1.18
2013,Zhejiang,37334.6,8.586369771,29775,3796.92,2.18,49.1,46.1,10.9464691,5784,4.56,1818,3.01,63.94,2848.75,2004.69,427072,0.007383679,5164.78,0.8929426,1978.51,105.72,0.018278008,2399.24,59.34,75.51,419120.3,1697.2,59.1,33,24564.8,1444.81,0.602194862,17512,390.4,1.04
2012,Zhejiang,34382.4,7.934753946,34550.3,3441.23,5.38,49.95,45.24,11.97628233,5685,4.6,1786,3.01,62.91,2996.59,1551.69,400094,0.007037713,5344.34,0.940077397,1979.39,93.2,0.016394019,2296.3,62.58,78.62,420960.52,2644.8,59.1,32,23967.3,1388.77,0.60478596,17771,375.4,1.08
2011,Zhejiang,31854.8,16.25881846,30970.68,3150.8,5.38,51.2,43.9,17.6984107,5570,4.07,1741,3.12,62.29,2816.12,1518.06,374157,0.006717361,4464.4,0.801508079,1981.6,90.75,0.016292639,2221.1,66.2,81.83,420133.89,1365.7,59.1,32,24790.3,1191.31,0.536360362,16729,238.7,0.74
2010,Zhejiang,27399.9,19.99763507,27359.02,2608.47,3.84,51.6,43.5,21.58973993,5446.51,4.73,1773,3.2,61.62,2586.09,1418,352871,0.006478846,3761.21,0.690572495,1983.66,88.49,0.016247101,2129,67.83,48.7,394828,2608.7,59.1,31,20434,911.11,0.42795209,21702,333.7,1.2
2009,Zhejiang,22833.7,7.278032004,24610.81,2142.51,-1.53,51.8,43.1,12.85379256,5275.5,4.63,1742,3.26,57.9,2295.32,1485.9,327014,0.00619873,3551.67,0.673238556,1986.69,86.65,0.016424983,2033.32,70.13,51.4,365017.13,1808.45,59.1,31,18860,858.54,0.422235556,14526,198,0.86
2008,Zhejiang,21284.6,14.18776824,22726.66,1933.39,5.03,53.9,41,15.24530002,5212.4,4.58,1757,3.49,57.6,2195.58,1333.69,288340,0.005531809,3179,0.609891796,1920.86,83.22,0.015965774,1939.09,74.1,53.9,350377,1680.16,57.4,31,17633,810.07,0.417757814,13600,519.7,2.42
2007,Zhejiang,18640,21.80856973,20573.82,1649.5,4.17,54,40.7,23.8599255,5154.9,4.81,1748,3.27,57.2,2158.32,1168.08,273823,0.005311897,2799.3,0.543036722,1917.54,77.8,0.015092436,1851.14,79.7,56.4,338100.92,1777.19,57.4,53,17467,750.9,0.405641929,12118,177.4,0.94
2006,Zhejiang,15302.7,17.45738124,18265.1,1298.2,1.06,54,40.1,17.34383424,5071.8,4.87,2087.05,3.5,57.2,1946.15,1229.25,255057,0.005028925,2607,0.514018692,2125.3,71.99,0.014194172,1744.16,85.9,59.3,303515,1829.49,57.4,52,14702,697.32,0.39980277,12932,140.3,0.89
2015,Chongqing,16040.5,9.68763249,27238.84,2154.83,1.75,44.98,47.7,13.21425968,3070,3.86,1904,3.58,61.47,1965.6,3719.9,227095,0.007397231,1303.8,0.424690554,2430.5,76.71,0.024986971,1329.5,49.58,37.98,149798.54,1518.65,43.1,57,9928,613.27,0.461278676,5250,139,0.88
2014,Chongqing,14623.8,12.25244865,25147.23,1922.02,2.65,45.78,46.78,12.47683553,3043,3.62,1872,3.46,59.74,1713.58,3520.77,210501,0.006917548,1242.3,0.408248439,2454.65,74.05,0.024334538,1231.44,52.69,38.64,145822.16,2155.94,43.1,57,9289.6,578.05,0.469409797,4787,168.4,1.18
2013,Chongqing,13027.6,12.35144971,23058.22,1693.24,2.58,50.5,41.4,12.76166876,3011,3.6,1847,3.4,58.29,1722.66,1376.15,197667,0.006564829,1128.85,0.374908668,2455.82,70.76,0.023500498,1114.92,54.77,39.18,142535.47,1603.87,38.4,57,9532.4,529.96,0.475334553,4439,173.3,1.37
2012,Chongqing,11595.4,14.11447467,22968.14,1703.49,5.3,52.37,39.39,12.7569957,2975,4,1832,3.3,56.64,1470.64,1177.02,184055,0.006186723,152.2,0.051159664,2451.28,62.36,0.020961345,1051.71,56.48,40.28,132430.2,1626.5,38.4,57,8359.9,516.89,0.491475787,4319,186.9,1.64
2011,Chongqing,10161.2,25.9866341,20249.7,1488.33,5.3,55.4,36.2,26.48152544,2944,3.17,1830,3.5,54.98,1474.88,1205.66,170799,0.005801596,1148.74,0.390197011,2449.71,56.78,0.019286685,1034.92,58.69,41.68,131449.83,1773.3,38.4,57,9121.1,476.37,0.460296448,4134,259.2,2.59
2010,Chongqing,8065.3,21.26082511,17532.43,952.07,3.25,55,36.4,24.17960307,2884.62,2.77,1860,3.9,53.02,1408.02,1275.96,160055,0.005548564,1030.77,0.357333028,2442.86,52.27,0.018120238,870.23,71.94,23.5,128113,1616.8,38.4,48,10943,412.44,0.47394367,3511,176.3,2.22
2009,Chongqing,6651.2,12.74175778,15748.67,655.17,-1.64,52.8,37.9,13.39547666,2859,3.7,1637,3.96,51.59,1351.9,1120.6,146033,0.005107835,987.99,0.345571878,2438.39,48.42,0.016935992,783.29,74.61,24,147068.75,1600.27,38.4,48,12587,357.22,0.45605076,3309,109.7,1.68
2008,Chongqing,5899.5,23.66109795,14367.55,577.57,5.57,47.7,41,30.46027132,2839,3.8,1574,3.96,49.99,1267.03,1096.82,109014,0.003839873,932.3,0.328390278,2235.93,45,0.015850652,708.37,78.2,24.2,145113,2040.32,34.9,51,7351,313.89,0.443115886,2978,67.3,1.32
2007,Chongqing,4770.7,22.31623208,12590.78,442.7,4.73,45.9,42.4,25.30354541,2816,3.8,1527,3.98,48.3,1237.35,968.45,103563,0.003677663,858.5,0.304865057,2239.08,41.37,0.014691051,667.45,82.62,25.1,134240.39,2357.61,34.9,50,7617,269.78,0.404195071,2797,63.7,1.55
2006,Chongqing,3900.3,13.10462823,11569.74,317.72,2.37,43,44.8,14.85949376,2808,3.4,1473.63,4,48.3,1449.49,954.56,96742,0.003445228,792.1,0.282086895,1383.98,37.61,0.013393875,631.35,86,26.4,145263,1356.83,34.9,50,6757,201.24,0.318745545,2581,60.1,1.72
